# ----------------------------------------------------------------------------
# Dataset: number of interactions and nodes in plant-frugivore interaction
# networks.
# Pedro Jordano. Sevilla.. 21 December 2023.
#
# id: number ID. of dataset.
# type: sp, species-based network; ind: individual-based network.
# sp: plant species name and family.
# P: number of plant species (for sp-based netwotks) or plant individuals (for 
#    ind-based networks) studied. 
# A: number of animal species.
# S: total number of nodes in the network (A+P).
# I: number of distinct interactions in network.
# C: connectance (C= i/(A+P)).
# biome: t, tropical; nt: non-tropical.
# site: study locality.
# reference: Bibliographic reference.
# node: refers to the total number of species or of individuals (P+A) in 
#       the adjacency matrix.
# 
# Reference for data: Quintero et al. 2025. 
#                     PNAS, doi= 10.1101/2024.02.02.578595.
# ----------------------------------------------------------------------------
id	code	type	sp	P	A	S	I	C	biome	site	reference
63	sdw09	sp	NA	7	6	13	29	0,6905	nt	NA	Sorensen A.E. (1981) Interactions between birds and fruit in a temperate woodland. Oecologia (Berl.), 50, 242-249.
64	sdw10	sp	NA	16	10	26	126	0,7875	t	NA	Frost P.G.H. (1980) Fruit-frugivore interactions in a South African coastal dune forest. In: Acta XVII Congressus Internationalis Ornithologici (ed. Noring R), pp. 1179-1184. Deutsche Ornithologische Ges., Berlin, Germany.
65	sdw11	sp	NA	12	7	19	52	0,6190	nt	NA	Guitián J. (1983) Relaciones entre los frutos y los passeriformes en un bosque montano de la cordillera Cantabrica occidental. PhD Thesis. Universidad de Santiago, Spain.
66	sdw12	sp	NA	35	29	64	181	0,1783	t	NA	Galetti M. & Pizo M.A. (1996) Fruit eating birds in a forest fragment in southeastern Brazil. Ararajuba, Rev. Brasil. Ornitol., 4, 71-79.
67	sdw13	sp	NA	5	27	32	91	0,6741	t	NA	Kantak G.E. (1981) Temporal feeding patterns of  some tropical frugivores. Condor, 83, 185-187.
68	sdw14	sp	NA	11	14	25	47	0,3052	nt	NA	Snow, B.K. & Snow, D.W. (1988). Birds and berries. T. and A.D. Poyser, Calton, England.
69	sdb15	sp	NA	17	8	26	84	0,6176	t	NA	Tutin C.E.G., Ham R.M., White L.J.T. & Harrison M.J.S. (1997) The primate community of the Lopé Reserve, Gabon: diets, responses to fruit scarcity, and effects on biomass. Am. J. Primatol., 42, 1-24.
70	sdw16	sp	NA	27	8	35	65	0,3009	nt	NA	Noma, N. & Yumoto, T. (1997). Fruiting phenology of animal-dispersed plants in response to winter migration of frugivores in a warm temperate forest on Yakushima Island, Japan. Ecological Research, 12, 119-129.
71	sdw17	sp	NA	71	7	79	214	0,4306	t	NA	Crome, F. H.J. (1975). The ecology of fruit pigeons in tropical Northern Queensland. Aust Wildl Res, 2, 155-185.
72	sdw18	sp	NA	50	14	64	284	0,4057	t	NA	Snow B.K. & Snow D.W. (1971) The feeding ecology of tanagers and honeycreepers in Trinidad. Auk, 88, 291-322.
73	sdw22	sp	NA	7	21	28	57	0,3878	nt	NA	Baird, J.W. (1980). The selection and use of fruit by birds in an Eastern forest. Wilson Bulletin, 92, 63-73.
74	sdw23	sp	NA	41	5	46	89	0,4341	t	NA	"Innis, G.J. (1989). Feeding ecology of fruit pigeons in subtropical rainforests of South-Eastern Queensland. Australian Journal of
 Wildlife Research, 16, 365-394."
75	sdw24	sp	NA	15	49	64	158	0,2150	t	NA	Pizo, M.A. (2004). Frugivory and habitat use by fruit-eating birds in a fragmented landscape of southeast Brazil. Ornitologia Neotropical, 15, 117-126.
76	sdw25	sp	NA	22	13	35	123	0,4301	t	NA	Frith, H.J., Crome, F.H.J. & Wolfe, T.O. (1976) Food of fruit pigeons in New Guinea. Emu, 76: 49-58.
77	sdb26	sp	NA	45	46	91	318	0,1536	t	NA	Donatti, C.I., P.R. Guimarães Jr., M. Galetti, M. A. Pizo, F. M. D. Marquitti, and R. Dirzo. (2011) Analysis of a hyper-diverse seed dispersal network: modularity and underlying mechanisms. Ecology Letters 14:773-781.
78	sdb27	sp	NA	314	132	446	1902	0,0459	t	NA	Fuzessy, L., Sobral, G., Carreira, D., Rother, D.C., Barbosa, G., Landis, M., et al. (2022). Functional roles of frugivores and plants shape hyper‐diverse mutualistic interactions under two antagonistic conservation scenarios. Biotropica, 54, 444–454.
