"plant"	"pollinator"	"w"
"494"	"1824"	"Halictus.quadricinctus"	1
"495"	"1824"	"Halictus.tridivisus"	0
"496"	"1824"	"Halictus.scabiosae"	0
"497"	"1824"	"Lasioglossum.xanthopum"	0
"498"	"1824"	"Sphecodes.gibbus"	0
"499"	"1824"	"Megachile.centuncularis"	0
"500"	"1824"	"Ancistrocerus.nigricornis"	0
"501"	"1824"	"Eristalis.tenax"	57
"502"	"1824"	"Eristalis.pratorum"	3
"503"	"1824"	"Eristalis.arbustorum"	3
"504"	"1824"	"Cheilosia.glossa"	7
"505"	"1824"	"Mallota.fuciformis"	0
"506"	"1824"	"Dasysyrphus.albostriatus"	0
"507"	"1824"	"Syrphus.vitripennis"	0
"508"	"1824"	"Syrphus.ribessi"	0
"509"	"1824"	"Criorhina.berberina"	0
"510"	"1824"	"Calliphora.vomitoria"	3
"511"	"1824"	"Gonia.ornata"	2
"512"	"1824"	"Pollenia.rudis"	0
"513"	"1824"	"Tachina.corsicana"	0
"514"	"1824"	"Asilidae.NI"	0
"515"	"1824"	"Empididae.NI"	0
"516"	"1824"	"Diptera.NI"	0
"517"	"1820"	"Hemaris.tityus"	0
"518"	"1820"	"Iphiclides.podalirius.Ad"	0
"519"	"1820"	"Vanessa.cardui"	0
"520"	"1820"	"Psithyrus.vestalis.obenbergeri"	0
"521"	"1820"	"Bombus.pratorum.m."	0
"522"	"1820"	"Bombus.pratorum.wk."	0
"523"	"1820"	"Bombus.pascuorum.wk."	0
"524"	"1820"	"Bombus.pascuorum.q."	0
"525"	"1820"	"Bombus.terrestris.wk."	1
"526"	"1820"	"Bombus.terrestris.q."	0
"527"	"1820"	"Xylocopa.violacea"	0
"528"	"1820"	"Apis.mellifera"	0
"529"	"1820"	"Osmia.rufa"	0
"530"	"1820"	"Andrena.fulva"	5
"531"	"1820"	"Andrena.synadelpha.nigroaenea"	0
"532"	"1820"	"Andrena.trimmerana"	0
"533"	"1820"	"Andrena.congruens"	0
"534"	"1820"	"Andrena.tibialis.corvina"	0
"535"	"1820"	"Andrena.albopunctata.morio"	0
"536"	"1820"	"Andrena.assimilis"	0
"537"	"1820"	"Halictus.quadricinctus"	0
"538"	"1820"	"Halictus.tridivisus"	0
"539"	"1820"	"Halictus.scabiosae"	0
"540"	"1820"	"Lasioglossum.xanthopum"	0
"541"	"1820"	"Sphecodes.gibbus"	0
"542"	"1820"	"Megachile.centuncularis"	0
"543"	"1820"	"Ancistrocerus.nigricornis"	0
"544"	"1820"	"Eristalis.tenax"	6
"545"	"1820"	"Eristalis.pratorum"	0
"546"	"1820"	"Eristalis.arbustorum"	0
"547"	"1820"	"Cheilosia.glossa"	1
"548"	"1820"	"Mallota.fuciformis"	0
"549"	"1820"	"Dasysyrphus.albostriatus"	0
"550"	"1820"	"Syrphus.vitripennis"	1
"551"	"1820"	"Syrphus.ribessi"	0
"552"	"1820"	"Criorhina.berberina"	0
"553"	"1820"	"Calliphora.vomitoria"	22
"554"	"1820"	"Gonia.ornata"	1
"555"	"1820"	"Pollenia.rudis"	2
"556"	"1820"	"Tachina.corsicana"	0
"557"	"1820"	"Asilidae.NI"	2
"558"	"1820"	"Empididae.NI"	3
"559"	"1820"	"Diptera.NI"	0
"560"	"1825"	"Hemaris.tityus"	0
"561"	"1825"	"Iphiclides.podalirius.Ad"	0
"562"	"1825"	"Vanessa.cardui"	0
"563"	"1825"	"Psithyrus.vestalis.obenbergeri"	0
"564"	"1825"	"Bombus.pratorum.m."	0
