# A multilayer network using explicit format.
# Figure 3
*Vertices 94. Trees: 19; Animals: 75.
# node_id name
2 69 2 5 1.5
2 70 2 5 0
2 71 2 5 5
2 72 2 5 4
2 73 2 5 0
2 31 2 6 0
2 32 2 6 0
2 33 2 6 0
2 34 2 6 0
2 35 2 6 0
2 36 2 6 0
2 37 2 6 0
2 38 2 6 0
2 39 2 6 0.5
2 40 2 6 0
2 41 2 6 0
2 42 2 6 0.5
2 43 2 6 0
2 44 2 6 17
2 45 2 6 0
2 46 2 6 0
2 47 2 6 0
2 48 2 6 0
2 49 2 6 0
2 50 2 6 0
2 51 2 6 0
2 52 2 6 0
2 53 2 6 1
2 54 2 6 0
2 55 2 6 0
2 56 2 6 0
2 57 2 6 0
2 58 2 6 0
2 59 2 6 0
2 60 2 6 0
2 61 2 6 0
2 62 2 6 0
2 63 2 6 0
2 64 2 6 0
2 65 2 6 0
2 66 2 6 0
2 67 2 6 4
2 68 2 6 1
2 69 2 6 0
2 70 2 6 0
2 71 2 6 0
2 72 2 6 0
2 73 2 6 0
2 31 2 7 0
2 32 2 7 0
2 33 2 7 0
2 34 2 7 0.5
2 35 2 7 0
2 36 2 7 2
2 37 2 7 0.5
2 38 2 7 0
2 39 2 7 0.5
2 40 2 7 0
2 41 2 7 0
2 42 2 7 0
2 43 2 7 0
2 44 2 7 1.5
2 45 2 7 0
2 46 2 7 0
2 47 2 7 0
2 48 2 7 0
2 49 2 7 0
2 50 2 7 0
2 51 2 7 0.5
2 52 2 7 0
2 53 2 7 0
2 54 2 7 0
2 55 2 7 0
2 56 2 7 0
2 57 2 7 0
2 58 2 7 1.5
2 59 2 7 0
2 60 2 7 0
2 61 2 7 1
2 62 2 7 0
2 63 2 7 0
2 64 2 7 1
2 65 2 7 0
2 66 2 7 0
2 67 2 7 24.5
2 68 2 7 0.5
2 69 2 7 3.5
2 70 2 7 0
2 71 2 7 0
2 72 2 7 0
2 73 2 7 0
2 31 2 8 0
2 32 2 8 0
2 33 2 8 0
